Name,ID Number,Key,Lab 1,Lab 2,Lab 3,Lab 4,Midterm,Exam 1,Exam 2,Exam 3,Exam 4
Kacie Stephenson,1803933,M7E8erO15CIh902P8DQsHxKbOADTgEPGHdiY0MplTuY=,3,9,9,0,7,4,5,8,10
Yassin Jordan,1884159,PWMKkdXW4VJ3pXBpr9UwjefmlIxYwPzk11Aw9TQ2wZQ=,9,2,10,3,8,3,9,5,7
Lowri Mathews,1853847,UVpoR9emIZDrpQ6pCLYopzE2Qm8bCrVyGEzdOOo2wXw=,9,0,0,2,17,6,10,7,4
Tiya Sheridan,1810192,bHdhydsHzwKdb0RF4wG72yGm2a2L-CNzDl7vaWOu9KA=,10,1,0,6,15,8,7,6,6
Nikola Forrest,1891352,iHsXoe_5Fle-PHGtgZUCs5ariPZT-LNCUYpixMC3NxI=,4,7,0,6,5,0,5,5,10
Veer Blair,1811313,IR_IQPnIM1TI8h4USnBLuUtC72cQ-u4Fwvlu3q5npA0=,4,8,5,3,12,7,4,0,2
Isabelle Mcgrath,1804841,kE8FpmTv8d8sRPIswQjCMaqunLUGoRNW6OrYU9JWZ4w=,1,7,4,0,13,8,9,6,0
Samir Greaves,1881925,_B__AgO34W7urog-thBu7mRKj3AY46D8L26yedUwf0I=,6,3,7,1,6,4,6,5,9
Zander Kendall,1877711,dLOM7DyrEnUsW-Q7OM6LXxZsbCFhjmyhsVT3P7oADqk=,8,10,5,4,17,4,8,10,2
Shahzaib Buckley,1830894,aM4bOtearz2GpURUxYKW23t_DlljFLzbfgWS-IRMB3U=,4,5,7,9,8,5,7,0,6
Morgan Bush,1855191,-IieSn1zKJ8P3XOjyAlRcD2KbeFl_BnQjHyCE7-356w=,1,6,7,10,1,5,7,2,8
Amaan Robbins,1821012,Lt5wWqTM1q9gNAgME4T5-5oVptAstg9llB4A_iNAYMY=,2,8,4,4,8,0,9,5,8
Theodore Lawson,1844339,M6glRgMP5Y8CZIs-MbyFvev5VKW-zbWyUMMt44QCzG4=,0,7,10,7,14,9,2,2,9
Ace Branch,1898468,SS0XtthxP64E-z4oB1IsdrzJwu1PUq6hgFqP_u435AA=,10,1,3,7,11,9,9,3,6
Anthony Bernard,1883633,0L_o75AEsOay_ggDJtOFWkgRpvFvM0snlDm9gep786I=,4,1,10,8,19,10,9,9,9
Tobey Bell,1808742,9BXraBysqT7QZLBjegET0e52WklQ7BBYWXvv8xpbvr8=,2,10,8,2,10,9,0,8,6
Jannat Cassidy,1863450,M0PgiJutAM_L9jvyfrGDWnbfJOXmhYt_skL0S88ngkU=,5,2,4,5,10,4,5,9,3
Imran Marquez,1830190,v-5GfMaI2ozfmef5BNO5hI-fEGwtKjuI1XcuTDh-wsg=,9,9,1,6,17,10,0,7,5
Amani Castro,1835544,LI14DbKGBfJExlwLodr6fkV4Pv4eABWkEhzArPbPSR8=,5,9,5,7,3,7,6,8,4
Blanka Holt,1820930,zoTviAO0EACFC4rFereJuc0A-99Xf_uOdq3GiqUpoeU=,9,5,2,0,8,6,0,7,10
